cliente_id,idade,profissao,estado_civil,escolaridade,possui_inadimplencia,saldo_conta,possui_financiamento_imovel,possui_emprestimo_pessoal,tipo_contato,dia_contato,mes_contato,duracao_contato_seg,qtd_contatos_campanha,dias_desde_ultimo_contato,contatos_campanha_anterior,resultado_campanha_anterior,aderiu_produto
59,36,retired,single,secondary,0,101,1,1,nao_informado,26,may,314,1,-1,0,nao_informado,0
60,54,technician,divorced,secondary,0,784,1,1,nao_informado,15,may,579,1,-1,0,nao_informado,0
61,41,blue-collar,married,primary,0,-516,0,1,telephone,8,jul,554,3,-1,0,nao_informado,0
62,63,retired,married,secondary,0,415,1,0,cellular,7,oct,323,1,-1,0,nao_informado,0
63,48,management,married,tertiary,0,5887,0,0,cellular,13,aug,227,2,-1,0,nao_informado,0
64,48,services,married,secondary,0,1355,0,0,cellular,4,jul,134,2,-1,0,nao_informado,0
65,56,admin.,married,secondary,0,16873,0,0,cellular,7,oct,223,1,-1,0,nao_informado,0
66,51,blue-collar,divorced,secondary,0,203,1,0,cellular,8,may,134,1,170,5,failure,0
67,31,services,married,secondary,0,338,1,0,cellular,28,jan,155,1,-1,0,nao_informado,0
68,29,technician,married,secondary,0,444,1,0,cellular,21,jul,130,4,-1,0,nao_informado,0
69,41,management,married,secondary,0,0,0,1,cellular,7,jul,630,3,-1,0,nao_informado,0
70,32,technician,single,tertiary,0,360,0,0,cellular,19,nov,164,2,-1,0,nao_informado,0
71,37,management,married,tertiary,0,0,0,0,cellular,16,jul,268,2,182,3,success,1
72,42,entrepreneur,divorced,tertiary,1,2,1,0,nao_informado,5,may,380,1,-1,0,nao_informado,0
73,31,management,single,tertiary,0,6248,1,0,nao_informado,9,may,154,2,-1,0,nao_informado,0
74,41,services,married,tertiary,0,412,1,0,nao_informado,3,jun,154,5,-1,0,nao_informado,0
75,56,retired,married,secondary,0,344,1,0,nao_informado,15,may,221,1,-1,0,nao_informado,0
76,54,management,divorced,tertiary,0,3222,0,0,cellular,14,aug,67,2,-1,0,nao_informado,0
77,41,blue-collar,divorced,secondary,0,174,1,0,cellular,14,may,367,2,297,1,other,0
78,40,technician,single,secondary,0,591,0,1,cellular,14,aug,87,6,-1,0,nao_informado,0
79,50,blue-collar,divorced,primary,0,388,0,0,cellular,5,feb,701,1,-1,0,nao_informado,0
80,40,unemployed,married,secondary,0,219,1,0,cellular,17,nov,204,2,196,1,failure,0
81,27,admin.,divorced,secondary,0,451,1,0,cellular,16,jul,652,1,-1,0,nao_informado,1
82,60,retired,married,primary,0,5,0,0,cellular,26,aug,63,2,-1,0,nao_informado,0
83,28,admin.,single,secondary,0,177,1,1,cellular,6,may,150,1,-1,0,nao_informado,0
84,52,services,married,secondary,0,657,0,0,telephone,7,jul,398,2,460,2,failure,1
85,37,management,married,tertiary,0,1315,0,0,cellular,30,jun,224,1,-1,0,nao_informado,1
86,51,blue-collar,married,primary,0,1466,1,0,nao_informado,7,may,406,2,-1,0,nao_informado,0
87,41,technician,single,secondary,0,879,0,1,cellular,7,jul,60,4,-1,0,nao_informado,0
88,35,blue-collar,single,primary,0,293,1,0,nao_informado,30,may,521,2,-1,0,nao_informado,0
89,38,admin.,married,secondary,0,424,1,0,cellular,17,apr,279,1,-1,0,nao_informado,0
90,34,blue-collar,married,secondary,0,1831,1,0,nao_informado,20,may,203,2,-1,0,nao_informado,0
91,39,blue-collar,married,primary,0,111,0,0,cellular,18,nov,201,2,-1,0,nao_informado,0
92,34,blue-collar,married,primary,0,455,1,0,nao_informado,20,jun,372,3,-1,0,nao_informado,0
93,27,services,single,secondary,0,-195,1,0,cellular,18,may,391,1,-1,0,nao_informado,1
94,32,management,single,tertiary,0,3616,0,0,cellular,14,aug,165,2,-1,0,nao_informado,0
95,57,blue-collar,married,secondary,0,14093,0,0,cellular,11,aug,231,5,-1,0,nao_informado,0
96,41,nao_informado,single,tertiary,0,1567,0,0,cellular,1,jul,291,2,-1,0,nao_informado,0
97,41,admin.,married,tertiary,0,5426,1,0,nao_informado,14,may,149,2,-1,0,nao_informado,0
98,30,admin.,single,tertiary,0,261,0,0,cellular,19,oct,233,1,137,20,failure,0
99,36,blue-collar,divorced,secondary,0,2843,0,0,cellular,12,feb,473,1,182,1,success,0
100,31,unemployed,single,primary,0,406,0,0,cellular,4,feb,736,1,-1,0,nao_informado,1
101,36,blue-collar,married,secondary,0,0,1,0,nao_informado,6,may,337,1,-1,0,nao_informado,0
102,38,management,single,tertiary,0,493,1,0,cellular,11,may,553,1,367,7,failure,0
103,49,technician,married,secondary,0,5996,0,0,telephone,21,nov,345,2,-1,0,nao_informado,0
104,57,services,single,primary,0,3777,1,0,telephone,13,may,65,2,-1,0,nao_informado,0
105,34,management,single,secondary,0,524,0,0,nao_informado,13,aug,9,1,-1,0,nao_informado,0
106,32,management,single,tertiary,0,574,1,0,cellular,14,apr,259,2,145,3,failure,0
107,37,blue-collar,married,secondary,0,427,1,1,nao_informado,9,jun,371,3,-1,0,nao_informado,0
108,33,self-employed,married,tertiary,0,483,1,0,cellular,3,feb,280,2,-1,0,nao_informado,0
109,56,unemployed,married,primary,0,3391,0,0,cellular,21,apr,243,1,-1,0,nao_informado,1
110,27,housemaid,married,primary,0,0,1,0,cellular,23,jul,435,3,-1,0,nao_informado,0
111,21,student,single,secondary,0,2488,0,0,cellular,30,jun,258,6,169,3,success,1
112,58,management,married,tertiary,0,1517,1,0,telephone,29,jul,7,5,-1,0,nao_informado,0
113,32,self-employed,married,secondary,0,217,1,1,cellular,15,jul,317,5,-1,0,nao_informado,0
114,33,blue-collar,single,secondary,0,22,0,0,cellular,30,jan,76,2,207,1,failure,0
115,25,student,single,secondary,0,331,0,0,telephone,26,aug,170,4,-1,0,nao_informado,1
116,25,technician,single,secondary,0,505,0,1,cellular,17,nov,386,2,-1,0,nao_informado,1
117,30,services,married,secondary,0,1808,1,0,cellular,18,may,83,2,-1,0,nao_informado,0
118,22,admin.,single,secondary,0,4111,0,1,cellular,19,aug,65,1,-1,0,nao_informado,0
119,39,blue-collar,married,primary,0,52,0,0,cellular,13,aug,69,1,-1,0,nao_informado,0
120,46,management,divorced,tertiary,0,25,0,0,nao_informado,17,jun,564,2,-1,0,nao_informado,0
121,31,admin.,divorced,secondary,0,1890,1,0,cellular,21,jul,588,1,-1,0,nao_informado,0
122,45,blue-collar,married,primary,0,419,0,0,cellular,18,aug,113,4,-1,0,nao_informado,0
123,32,technician,married,secondary,0,2693,1,0,nao_informado,21,may,16,1,-1,0,nao_informado,0
124,36,blue-collar,married,secondary,0,-231,0,1,cellular,15,jul,779,2,-1,0,nao_informado,0
125,51,management,single,tertiary,1,-55,1,0,cellular,11,may,281,2,266,6,failure,0
126,34,self-employed,single,tertiary,0,462,0,0,cellular,21,aug,1877,3,-1,0,nao_informado,1
127,24,unemployed,single,secondary,0,119,0,0,nao_informado,15,sep,51,1,-1,0,nao_informado,0
128,45,technician,single,secondary,0,586,0,1,cellular,28,jul,32,3,-1,0,nao_informado,0
129,32,blue-collar,single,secondary,0,228,0,0,telephone,5,feb,176,1,288,3,failure,0
130,77,retired,divorced,tertiary,0,4659,0,0,cellular,14,apr,161,1,-1,0,nao_informado,1
131,41,blue-collar,married,primary,0,168,1,0,cellular,18,nov,187,3,-1,0,nao_informado,0
132,37,blue-collar,married,primary,0,0,1,0,nao_informado,26,may,24,1,-1,0,nao_informado,0
133,43,blue-collar,married,nao_informado,1,-715,1,0,nao_informado,30,may,67,3,-1,0,nao_informado,0
134,48,admin.,married,nao_informado,0,0,1,0,cellular,8,may,85,1,168,2,failure,0
135,27,technician,single,secondary,0,769,1,0,nao_informado,9,may,317,2,-1,0,nao_informado,0
136,33,management,single,tertiary,0,0,0,0,cellular,28,aug,236,10,-1,0,nao_informado,0
137,29,admin.,single,secondary,0,428,1,1,cellular,7,may,54,1,345,2,failure,0
138,34,management,single,tertiary,0,0,0,0,cellular,5,feb,71,1,-1,0,nao_informado,0
139,52,management,married,tertiary,0,-970,1,0,cellular,4,feb,489,1,-1,0,nao_informado,1
140,60,management,married,nao_informado,0,6313,0,0,nao_informado,19,jun,39,2,-1,0,nao_informado,0
141,32,management,divorced,tertiary,0,948,0,0,cellular,12,aug,204,2,-1,0,nao_informado,0
142,32,management,single,tertiary,0,0,1,0,cellular,22,jul,455,2,-1,0,nao_informado,0
143,56,services,divorced,nao_informado,0,1877,1,0,nao_informado,30,may,86,1,-1,0,nao_informado,0
144,31,management,single,tertiary,0,874,1,0,cellular,18,nov,190,2,-1,0,nao_informado,0
145,42,admin.,married,secondary,0,323,1,1,nao_informado,8,may,280,2,-1,0,nao_informado,0
146,35,management,married,tertiary,0,106,0,1,cellular,11,aug,588,2,-1,0,nao_informado,0
147,56,retired,married,primary,0,1906,0,1,nao_informado,19,jun,45,9,-1,0,nao_informado,0
148,48,technician,married,secondary,0,1152,1,0,cellular,21,jul,168,5,-1,0,nao_informado,0
149,46,admin.,married,secondary,0,179,1,0,cellular,29,jan,194,4,436,1,other,0
150,37,technician,single,nao_informado,0,391,1,0,nao_informado,8,may,103,3,-1,0,nao_informado,0
151,41,entrepreneur,married,nao_informado,0,89,1,0,nao_informado,6,may,333,2,-1,0,nao_informado,0
152,36,management,single,tertiary,0,442,1,1,cellular,29,jul,102,3,-1,0,nao_informado,0
153,45,unemployed,divorced,primary,1,-249,1,1,nao_informado,1,jul,92,1,-1,0,nao_informado,0
154,55,entrepreneur,married,secondary,0,8104,0,0,cellular,6,feb,213,2,-1,0,nao_informado,0
155,39,technician,married,secondary,0,501,0,0,nao_informado,26,may,289,1,-1,0,nao_informado,0
156,35,technician,divorced,secondary,0,308,0,0,cellular,22,aug,77,2,-1,0,nao_informado,0
157,55,admin.,married,secondary,0,602,0,0,cellular,1,jun,324,3,90,2,success,1
158,55,technician,married,secondary,0,273,1,0,cellular,29,jan,84,3,183,3,failure,0
159,27,self-employed,single,secondary,0,50,0,0,cellular,29,jan,168,1,-1,0,nao_informado,0
160,34,technician,married,secondary,0,1641,1,0,cellular,17,apr,380,1,-1,0,nao_informado,0
161,34,blue-collar,married,tertiary,0,20,0,0,nao_informado,4,oct,10,1,-1,0,nao_informado,0
162,25,admin.,single,secondary,0,4590,1,0,nao_informado,28,may,199,2,-1,0,nao_informado,0
163,41,admin.,single,secondary,0,-256,0,1,nao_informado,9,may,35,3,-1,0,nao_informado,0
164,43,services,married,secondary,0,978,1,1,nao_informado,26,may,82,2,-1,0,nao_informado,0
165,28,management,single,tertiary,0,80,0,0,cellular,20,oct,676,2,146,2,failure,1
166,31,admin.,single,secondary,0,2104,1,0,nao_informado,3,jun,455,1,-1,0,nao_informado,0
167,78,housemaid,married,secondary,0,499,0,0,telephone,16,mar,80,4,-1,0,nao_informado,0
168,45,blue-collar,divorced,secondary,0,1269,1,0,cellular,29,jan,549,2,-1,0,nao_informado,0
169,48,technician,married,tertiary,0,310,0,0,nao_informado,6,may,135,1,-1,0,nao_informado,0
170,32,blue-collar,single,secondary,0,1143,1,1,cellular,10,jul,412,1,-1,0,nao_informado,0
171,42,technician,married,secondary,0,2980,0,0,nao_informado,20,jun,101,3,-1,0,nao_informado,0
172,37,management,single,tertiary,0,37,0,0,cellular,28,jan,253,2,-1,0,nao_informado,0
173,40,admin.,single,secondary,0,462,1,1,cellular,6,apr,272,1,335,4,other,0
174,32,admin.,married,secondary,0,1031,1,0,cellular,17,jul,84,1,-1,0,nao_informado,0
175,42,management,married,tertiary,0,9009,0,0,cellular,20,nov,135,2,-1,0,nao_informado,0
176,43,admin.,married,secondary,0,-465,1,1,cellular,23,jul,166,1,-1,0,nao_informado,0
177,44,admin.,married,secondary,0,5181,1,1,cellular,31,jul,18,7,-1,0,nao_informado,0
178,37,admin.,married,secondary,0,176,1,0,cellular,5,may,147,2,347,1,failure,0
179,37,nao_informado,married,nao_informado,0,1699,0,0,nao_informado,9,jun,63,1,-1,0,nao_informado,0
180,37,admin.,married,tertiary,0,0,1,0,cellular,17,nov,65,2,119,1,failure,0
181,28,technician,single,tertiary,0,172,1,1,cellular,2,feb,194,2,-1,0,nao_informado,0
182,32,services,single,secondary,0,0,0,1,cellular,11,jul,333,2,-1,0,nao_informado,0
183,34,admin.,single,secondary,0,6979,1,0,cellular,15,may,14,5,-1,0,nao_informado,0
184,40,admin.,divorced,secondary,0,6,0,0,nao_informado,11,jun,140,1,-1,0,nao_informado,0
185,34,services,married,secondary,0,-62,1,0,nao_informado,16,jun,109,3,-1,0,nao_informado,0
186,34,self-employed,married,tertiary,0,1972,1,0,cellular,23,jul,61,2,-1,0,nao_informado,0
187,34,admin.,married,tertiary,0,899,1,0,telephone,19,nov,377,3,7,4,success,0
188,37,services,single,secondary,0,21,1,0,cellular,2,feb,96,1,271,2,other,0
189,36,technician,married,secondary,0,23,1,0,cellular,8,may,152,2,347,1,failure,0
190,56,retired,married,secondary,0,-1206,1,0,cellular,15,jun,382,2,-1,0,nao_informado,1
191,49,blue-collar,married,primary,0,0,1,1,telephone,23,jul,97,6,-1,0,nao_informado,0
192,33,self-employed,married,secondary,0,215,1,0,cellular,29,jul,543,12,-1,0,nao_informado,0
193,30,management,single,tertiary,0,1372,0,0,cellular,20,nov,240,2,-1,0,nao_informado,0
194,36,services,married,secondary,0,1981,0,0,nao_informado,17,jun,48,2,-1,0,nao_informado,0
195,23,student,single,secondary,0,9216,0,0,cellular,5,jun,471,2,-1,0,nao_informado,0
196,57,retired,divorced,secondary,0,39,1,0,cellular,30,jul,354,3,-1,0,nao_informado,0
197,27,blue-collar,single,secondary,0,5563,1,0,nao_informado,30,may,435,2,-1,0,nao_informado,0
198,38,services,married,secondary,0,1,0,1,cellular,21,nov,152,2,-1,0,nao_informado,0
199,42,technician,married,tertiary,0,782,0,0,cellular,3,apr,285,1,-1,0,nao_informado,0
200,75,retired,married,secondary,0,3771,0,0,telephone,15,apr,185,1,181,2,success,1
201,34,technician,single,tertiary,0,992,1,0,cellular,4,may,301,1,88,2,success,0
202,48,technician,married,secondary,0,1526,0,0,cellular,6,aug,273,2,-1,0,nao_informado,0
203,35,technician,single,tertiary,0,2658,1,0,cellular,19,aug,768,2,141,3,failure,1
204,39,management,divorced,tertiary,0,1315,1,0,cellular,19,nov,1337,4,126,1,failure,0
205,29,blue-collar,single,tertiary,0,455,0,0,telephone,21,apr,403,1,-1,0,nao_informado,1
206,45,technician,single,tertiary,0,0,1,0,cellular,18,nov,139,2,-1,0,nao_informado,0
207,42,technician,married,secondary,0,2030,1,1,cellular,9,jul,196,1,-1,0,nao_informado,0
208,29,technician,married,secondary,0,1599,1,0,cellular,8,jul,115,1,61,1,failure,0
209,38,services,single,secondary,0,-196,1,0,cellular,2,feb,60,1,271,1,failure,0
210,56,retired,married,secondary,0,1333,0,0,cellular,28,aug,17,14,-1,0,nao_informado,0
211,36,technician,single,secondary,0,9149,1,0,cellular,13,aug,141,3,-1,0,nao_informado,0
212,25,blue-collar,single,secondary,0,-350,1,0,nao_informado,23,jun,95,3,-1,0,nao_informado,0
213,38,technician,married,tertiary,0,432,1,0,cellular,15,may,10,2,373,1,other,0
214,57,self-employed,married,secondary,0,11494,0,0,cellular,19,nov,198,1,-1,0,nao_informado,0
215,31,management,married,tertiary,1,-253,0,0,cellular,12,aug,220,4,-1,0,nao_informado,0
216,42,management,married,tertiary,0,372,1,0,cellular,3,aug,654,2,-1,0,nao_informado,1
217,45,technician,married,secondary,0,1410,0,0,cellular,11,aug,71,2,-1,0,nao_informado,0
218,30,blue-collar,married,secondary,0,975,1,0,cellular,13,may,256,2,351,2,failure,0
219,49,blue-collar,married,primary,0,305,1,1,telephone,10,jul,834,10,-1,0,nao_informado,0
220,49,services,married,secondary,0,400,0,0,cellular,21,aug,151,3,-1,0,nao_informado,0
221,53,retired,married,tertiary,0,-22,1,0,cellular,31,jul,20,3,-1,0,nao_informado,0
222,37,technician,married,secondary,0,4030,1,0,nao_informado,26,may,178,5,-1,0,nao_informado,0
223,49,blue-collar,married,primary,0,365,0,0,nao_informado,26,may,59,2,-1,0,nao_informado,0
224,41,self-employed,married,primary,0,204,0,0,cellular,13,aug,111,7,-1,0,nao_informado,0
225,54,management,married,primary,0,1691,1,0,cellular,20,nov,186,1,-1,0,nao_informado,0
226,32,services,single,secondary,0,406,1,0,nao_informado,6,may,227,1,-1,0,nao_informado,0
227,33,technician,married,secondary,0,-204,0,0,cellular,15,may,297,3,-1,0,nao_informado,0
228,33,technician,married,secondary,0,359,1,0,cellular,20,apr,210,1,242,1,other,0
229,36,blue-collar,married,primary,0,123,1,0,cellular,18,may,9,1,-1,0,nao_informado,0
230,35,technician,married,tertiary,0,0,1,1,cellular,23,sep,112,1,62,6,other,0
231,52,nao_informado,married,secondary,0,142,0,0,cellular,25,aug,112,6,-1,0,nao_informado,0
232,40,entrepreneur,married,tertiary,0,3571,0,0,nao_informado,9,jun,222,3,-1,0,nao_informado,0
233,44,technician,single,secondary,0,33,1,0,cellular,13,may,195,3,351,10,failure,0
234,45,blue-collar,single,secondary,0,0,1,0,cellular,26,jul,768,2,91,5,success,0
235,30,student,single,secondary,0,3096,0,0,cellular,26,jan,123,1,-1,0,nao_informado,0
236,48,technician,divorced,secondary,1,20,0,0,cellular,27,aug,145,3,-1,0,nao_informado,0
237,33,blue-collar,married,secondary,0,3576,1,0,cellular,2,apr,124,1,308,2,other,0
238,57,technician,married,nao_informado,0,206,1,0,nao_informado,5,may,216,3,-1,0,nao_informado,0
239,57,housemaid,married,primary,0,7082,0,0,nao_informado,6,jun,69,3,-1,0,nao_informado,0
240,51,unemployed,married,tertiary,0,1634,1,0,cellular,22,jul,168,4,-1,0,nao_informado,0
241,34,admin.,single,secondary,0,1,1,0,cellular,22,jul,483,7,-1,0,nao_informado,0
242,50,self-employed,married,tertiary,0,4012,0,0,cellular,19,nov,690,3,-1,0,nao_informado,0
243,44,management,married,tertiary,0,3762,0,0,cellular,28,aug,125,12,-1,0,nao_informado,0
244,27,admin.,married,secondary,0,-247,1,1,nao_informado,4,jun,344,2,-1,0,nao_informado,0
245,50,blue-collar,married,secondary,0,606,1,0,nao_informado,14,may,673,2,-1,0,nao_informado,0
246,36,management,married,tertiary,0,0,1,0,cellular,28,jan,60,1,250,1,other,0
247,42,management,married,secondary,0,-189,1,0,nao_informado,12,may,247,2,-1,0,nao_informado,0
248,32,unemployed,single,secondary,0,0,0,0,cellular,27,may,123,2,-1,0,nao_informado,0
249,42,management,married,tertiary,0,484,1,0,cellular,11,jul,144,2,-1,0,nao_informado,0
250,43,technician,married,secondary,0,0,0,1,cellular,8,may,9,2,172,5,failure,0
251,31,management,married,tertiary,0,395,1,0,cellular,9,feb,155,3,-1,0,nao_informado,0
252,32,management,married,tertiary,0,2349,0,0,cellular,14,aug,134,5,-1,0,nao_informado,0
253,55,blue-collar,divorced,primary,0,410,0,1,cellular,11,jul,221,2,-1,0,nao_informado,0
254,58,retired,married,primary,0,3401,1,0,cellular,3,feb,84,3,265,2,failure,0
255,46,blue-collar,married,primary,0,222,0,0,cellular,8,aug,71,2,-1,0,nao_informado,0
256,55,blue-collar,married,secondary,0,989,1,1,nao_informado,23,may,246,4,-1,0,nao_informado,0
257,34,management,married,tertiary,0,415,0,1,cellular,23,jul,361,2,-1,0,nao_informado,0
258,28,unemployed,single,secondary,0,16,0,0,cellular,12,aug,119,4,-1,0,nao_informado,0
259,42,technician,divorced,tertiary,0,7190,1,0,cellular,29,jul,375,2,-1,0,nao_informado,0
260,29,blue-collar,single,secondary,0,482,0,1,cellular,10,jul,1097,3,-1,0,nao_informado,1
261,54,housemaid,married,secondary,0,209,1,1,cellular,25,jul,97,1,-1,0,nao_informado,0
262,32,technician,single,secondary,0,0,0,0,cellular,26,aug,181,2,-1,0,nao_informado,0
263,39,technician,single,tertiary,0,5803,0,0,cellular,2,feb,83,3,-1,0,nao_informado,0
264,53,entrepreneur,married,tertiary,0,624,0,1,cellular,21,jul,180,4,-1,0,nao_informado,0
265,58,technician,married,tertiary,0,883,0,0,cellular,18,aug,543,1,78,2,failure,0
266,40,self-employed,married,secondary,0,1516,1,1,nao_informado,23,may,373,1,-1,0,nao_informado,0
267,29,student,single,secondary,0,872,1,0,nao_informado,7,may,230,1,-1,0,nao_informado,0
268,33,technician,married,tertiary,0,-988,1,1,cellular,15,jul,83,3,-1,0,nao_informado,0
269,38,admin.,single,secondary,0,902,1,0,telephone,31,jul,58,13,-1,0,nao_informado,0
270,56,services,divorced,secondary,0,1007,0,0,cellular,29,jul,88,6,-1,0,nao_informado,0
271,40,services,married,secondary,0,0,1,0,cellular,2,jun,297,1,28,3,failure,0
272,24,blue-collar,single,secondary,0,174,1,1,cellular,18,may,487,1,-1,0,nao_informado,1
273,46,management,married,secondary,0,12186,0,0,nao_informado,20,jun,29,3,-1,0,nao_informado,0
274,35,self-employed,married,secondary,0,524,1,0,cellular,21,nov,484,4,-1,0,nao_informado,0
275,35,blue-collar,single,tertiary,0,0,1,0,cellular,21,jul,262,4,-1,0,nao_informado,0
276,34,technician,married,secondary,0,4,1,0,nao_informado,15,may,644,1,-1,0,nao_informado,0
277,35,housemaid,married,tertiary,0,11219,0,0,cellular,12,aug,699,2,79,1,failure,0
278,38,technician,single,tertiary,0,0,0,0,cellular,28,aug,247,2,-1,0,nao_informado,0
279,50,blue-collar,married,primary,0,5776,0,0,cellular,18,nov,49,3,-1,0,nao_informado,0
280,51,blue-collar,divorced,primary,0,37,1,0,cellular,13,may,341,1,-1,0,nao_informado,0
281,59,self-employed,married,tertiary,0,593,0,0,nao_informado,13,may,64,2,-1,0,nao_informado,0
282,32,blue-collar,married,secondary,0,1148,1,0,cellular,20,apr,121,1,-1,0,nao_informado,0
283,37,blue-collar,single,secondary,0,3561,1,0,nao_informado,2,jun,98,1,-1,0,nao_informado,0
284,42,admin.,divorced,secondary,0,63,0,0,nao_informado,16,may,88,6,-1,0,nao_informado,0
285,40,student,married,secondary,0,260,0,0,nao_informado,20,jun,197,6,-1,0,nao_informado,0
